Symbol,Security,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,Founded
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,1902
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/64,1888
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/12,2013 (1888)
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",5/31/18,1981
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/11,1989
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",8/31/15,2008
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",5/5/97,1982
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Sunnyvale, California",3/20/17,1969
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",7/9/15,1932
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/98,1981
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,"West Palm Beach, Florida",7/1/14,1993
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/99,1955
A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",6/5/00,1999
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/85,1940
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/07,1998
ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",5/13/16,1985
ALB,Albemarle Corp,Materials,Specialty Chemicals,"Charlotte, North Carolina",7/1/16,1994
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",3/20/17,1994
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",5/25/12,1992
ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",6/19/17,1997
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",12/2/13,1908
AGN,"Allergan, Plc",Health Care,Pharmaceuticals,"Dublin, Ireland",4/12/99,1983
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",12/23/13,1996
LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/16,1917
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/95,1931
GOOGL,Alphabet Inc Class A,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/14,1998
GOOG,Alphabet Inc Class C,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/06,1998
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",,1985
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/05,1994
AMCR,Amcor plc,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",6/7/19,
AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/91,1902
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",3/23/15,1934
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",,1906
AXP,American Express Co,Financials,Consumer Finance,"New York, New York",6/30/76,1850
AIG,American International Group,Financials,Property & Casualty Insurance,"New York, New York",3/31/80,1919
AMT,American Tower Corp.,Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/07,1995
AWK,American Water Works Company Inc,Utilities,Water Utilities,"Camden, New Jersey",3/4/16,1886
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/05,1894
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",8/30/01,1985
AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/13,1930
AMGN,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California",1/2/92,1980
APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/08,1932
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",10/12/99,1965
ANSS,ANSYS,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/17,1969
ANTM,Anthem,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/02,2014 (1940s)
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",4/23/96,1982 (1919)
AOS,A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/17,1916
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/97,1954
AIV,Apartment Investment & Management,Real Estate,Residential REITs,"Denver, Colorado",3/14/03,1994 (1975)
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/82,1977
AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California",3/16/95,1967
APTV,Aptiv Plc,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",12/24/12,1994
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Chicago, Illinois",7/29/81,1902
ARNC,Arconic Inc.,Industrials,Aerospace & Defense,"New York, New York",3/31/64,2016
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",8/28/18,2004
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",5/31/16,
AIZ,Assurant,Financials,Multi-line Insurance,"New York, New York",4/10/07,
ATO,Atmos Energy Corp,Utilities,Gas Utilities,"Dallas, Texas",2/15/19,1906
T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",11/30/83,1983
ADSK,Autodesk Inc.,Information Technology,Application Software,"San Rafael, California",12/1/89,
ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",3/31/81,
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1/2/97,
AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,"Arlington, Virginia[3]",1/10/07,
AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",12/31/87,
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,"Houston, Texas",7/7/17,2017
BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/84,
BAC,Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/76,
BK,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks,"New York, New York",3/31/95,
BAX,Baxter International Inc.,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/72,1931
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/72,1897
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/10,
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/99,
BIIB,Biogen Inc.,Health Care,Biotechnology,"Cambridge, Massachusetts",11/13/03,
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York, New York",4/4/11,
BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",,1916
BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",11/6/09,
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/11,
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",4/3/06,
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",2/24/95,
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,"New York, New York",,1989
AVGO,Broadcom Inc.,Information Technology,Semiconductors,"San Jose, California",5/8/14,
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",6/18/18,1962
BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/82,
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/07,
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/08,
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",9/18/17,
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,1869
COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/98,1935
CPRI,Capri Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",11/13/13,
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/97,
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",6/28/10,
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/98,
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",,1925
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/17,
CBRE,CBRE Group,Real Estate,Real Estate Services,"Los Angeles, California",11/10/06,
CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",9/23/19,1984
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",12/24/18,
CNC,Centene Corporation,Health Care,Managed Health Care,"St Louis, Missouri",3/30/16,
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",7/31/85,
CTL,CenturyLink Inc,Communication Services,Integrated Telecommunication Services,"Monroe, Louisiana",3/25/99,
CERN,Cerner,Health Care,Health Care Technology,"North Kansas City, Missouri",4/30/10,
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/08,
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"San Francisco, California",6/2/97,
